,Paper,Material,Property,Value,Unit
255,34 c0cc00098a.pdf,PBDTDPT2,JSC,10.34,mAcm-2
256,34 c0cc00098a.pdf,PBDTDPT2,PCE,4.12,%
257,34 c0cc00098a.pdf,PBDTTT,VOC,0.79,N/A
258,34 c0cc00098a.pdf,PBDTDPT2,PCE,4.79,%
259,34 c0cc00098a.pdf,PBDTDPT1,FF,0.62,N/A
260,34 c0cc00098a.pdf,PBDTDPT2,FF,0.57,N/A
261,34 c0cc00098a.pdf,PBDTDPT2,PCE,1.49,%
262,34 c0cc00098a.pdf,PBDTDPT2,VOC,0.91,V
263,34 c0cc00098a.pdf,PBDTDPT2,FF,0.51,N/A
264,34 c0cc00098a.pdf,PBDTDPT2,PCE,8.89,mAcm-2
265,34 c0cc00098a.pdf,PBDTTT,PCE,6.77,%
266,35 ma101878w.pdf,PC71BM,VOC,0.41,V
267,35 ma101878w.pdf,PC71BM,PCE,1.76,%
268,35 ma101878w.pdf,PC71BM,VOC,0.76,V
269,35 ma101878w.pdf,PC71BM,PCE,3.06,%
270,35 ma101878w.pdf,PC71BM,FF,0.0576,mA/cm2
271,35 ma101878w.pdf,PC71BM(1:2)solar,FF,0.08289999999999999,mA/cm2
272,35 ma101878w.pdf,PC71BM)as,VOC,0.40,N/A
273,35 ma101878w.pdf,PC71BM)as,VOC,0.8,V
274,35 ma101878w.pdf,PC71BM,JSC,7.39,mA/cm2
275,35 ma101878w.pdf,PC71BM(1:2)solar,PCE,3.15,%
276,36 ja200314m.pdf,unknown,JSC,10.54,mA/cm2
277,36 ja200314m.pdf,PDTSTPD:PC71BM,VOC,0.90,V
278,36 ja200314m.pdf,PDTSTPD/PC71BM-based,PCE,6.1,%
279,36 ja200314m.pdf,PDTSTPD/PC71BM-based,VOC,0.85,V
280,36 ja200314m.pdf,PDTSTPD/PC71BM-based,FF,0.54,N/A
281,36 ja200314m.pdf,PDTSTPD:PC71BM,JSC,10.95,mA/cm2
282,36 ja200314m.pdf,PDTSTPD:PC71BM,PCE,6.2,%
283,36 ja200314m.pdf,PDTSTPD:PC71BM,FF,0.63,N/A
284,36 ja200314m.pdf,unknown,PCE,1.0,%
285,36 ja200314m.pdf,PDTSTPD/PC71BM-based,JSC,13.3,mA/cm2
286,36 ja200314m.pdf,unknown,PCE,7.3,%
287,37 ma800820r.pdf,LUMO,VOC,0.68,V
288,37 ma800820r.pdf,PCBM-based,PCE,10,N/A
289,37 ma800820r.pdf,PCBM,PCE,1.6,%
290,37 ma800820r.pdf,LUMO,VOC,0.12,V
291,37 ma800820r.pdf,unknown,VOC,0.38,V
292,38 Subbiah_et_al-2015-Advanced_Materials.pdf,PCBE,PCE,9.4,%
293,38 Subbiah_et_al-2015-Advanced_Materials.pdf,unknown,PCE,4.4,%
294,38 Subbiah_et_al-2015-Advanced_Materials.pdf,PBDT,PCE,9.4,%
295,38 Subbiah_et_al-2015-Advanced_Materials.pdf,PBDT–BT)with,PCE,9.4,%
296,38 Subbiah_et_al-2015-Advanced_Materials.pdf,unknown,PCE,7.6,%
297,39 ja101888b.pdf,PBDTTPD:PC71BM,VOC,0.85,V
298,39 ja101888b.pdf,PBDTTPD:PC71BM,JSC,9.81,mA/cm2
299,39 ja101888b.pdf,PBDTTPD:PC71BM,FF,0.66,N/A
300,39 ja101888b.pdf,unknown,PCE,5.5,%
301,39 ja101888b.pdf,DTBT)were,PCE,7.4,%
302,40 ma301900h.pdf,unknown,PCE,4.72,%
303,41 acs.macromol.5b00829.pdf,HOMO,VOC,0.90,V
304,41 acs.macromol.5b00829.pdf,unknown,JSC,13.58,mA/cm2
305,41 acs.macromol.5b00829.pdf,unknown,PCE,5.63,%
306,41 acs.macromol.5b00829.pdf,LUMO,PCE,5.24,%
307,41 acs.macromol.5b00829.pdf,unknown,VOC,0.76,N/A
308,41 acs.macromol.5b00829.pdf,unknown,FF,0.70,N/A
309,41 acs.macromol.5b00829.pdf,HOMO,PCE,8.55,%
310,"42 Wu_et_al-2013-Advanced_materials_(Deerfield_Beach,_Fla.).pdf",PBDTTT-S-T,FF,0.52,N/A
311,"42 Wu_et_al-2013-Advanced_materials_(Deerfield_Beach,_Fla.).pdf",PBDTTT-S-T,FF,0.64,N/A
312,"42 Wu_et_al-2013-Advanced_materials_(Deerfield_Beach,_Fla.).pdf",PBDTTT-S-T/PC,PCE,5.93,%
313,"42 Wu_et_al-2013-Advanced_materials_(Deerfield_Beach,_Fla.).pdf",PBDTTT-S-T,PCE,5.0,%
314,"42 Wu_et_al-2013-Advanced_materials_(Deerfield_Beach,_Fla.).pdf",unknown,PCE,8,N/A
315,"42 Wu_et_al-2013-Advanced_materials_(Deerfield_Beach,_Fla.).pdf",PBDTTT-S-T,PCE,7.79,%
316,43 Ye_et_al-2012-Advanced_Materials.pdf,PBDTDTTT-S-T,FF,0.6629999999999999,%
317,44 Huang_et_al-2013-Advanced_Energy_Materials (1).pdf,unknown,PCE,9,%
318,46 c3py01519j.pdf,PBDTFQ-TT:PC61BM-based,VOC,0.75,V
319,46 c3py01519j.pdf,PBDTFQ-TT:PC61BM-based,PCE,3.19,%
320,46 c3py01519j.pdf,PBDTFQ-T,PCE,5.30,%
321,46 c3py01519j.pdf,PC61BM,PCE,2.18,%
322,46 c3py01519j.pdf,PBDTFQ-TT:PC61BM(1:1,FF,0.59,%
323,46 c3py01519j.pdf,PBDTFQ-T:PC61BM(1:1,PCE,2.18,%
324,46 c3py01519j.pdf,PBDTFQ-T:PC61BM(1:1,FF,0.46,%
325,46 c3py01519j.pdf,PC61BM,PCE,5.29,%
326,47 acs%2Emacromol%2E5b00251.pdf,PBDTT-,JSC,13.70,mAcm−2
327,47 acs%2Emacromol%2E5b00251.pdf,PBDTT-,VOC,0.86,V
328,47 acs%2Emacromol%2E5b00251.pdf,unknown,PCE,5.5,%
329,47 acs%2Emacromol%2E5b00251.pdf,unknown,PCE,6.08,%
330,47 acs%2Emacromol%2E5b00251.pdf,PC61BM,PCE,1.39,%
331,47 acs%2Emacromol%2E5b00251.pdf,PBDTT-,FF,0.66,%
332,47 acs%2Emacromol%2E5b00251.pdf,PBDTT-tt-TPD)to,PCE,6.76,%
333,47 acs%2Emacromol%2E5b00251.pdf,unknown,VOC,0.84,V
334,47 acs%2Emacromol%2E5b00251.pdf,PBDTT-,PCE,7.71,%
335,49 c5py00071h.pdf,PBDT-TS1,PCE,9.87,%
336,49 c5py00071h.pdf,PBDT-TS1,PCE,9.52,%
337,49 c5py00071h.pdf,PBDT-TS1,PCE,9.48,%
338,50 ja103275u.pdf,unknown,PCE,4,%
339,50 ja103275u.pdf,unknown,JSC,11.5,mA/cm2
340,50 ja103275u.pdf,unknown,VOC,0.85,V
341,50 ja103275u.pdf,unknown,FF,0.698,%
342,51 Yuan_et_al-2013-Advanced_Functional_Materials.pdf,unknown,PCE,6.17,%
343,51 Yuan_et_al-2013-Advanced_Functional_Materials.pdf,unknown,PCE,8.62,%
344,51 Yuan_et_al-2013-Advanced_Functional_Materials.pdf,PBDT-TPD(synthesized,FF,0.494,%
345,51 Yuan_et_al-2013-Advanced_Functional_Materials.pdf,unknown,VOC,1,Volt
346,51 Yuan_et_al-2013-Advanced_Functional_Materials.pdf,PBDT-TPD(synthesized,PCE,4.77,%
347,51 Yuan_et_al-2013-Advanced_Functional_Materials.pdf,unknown,FF,0.63,%
348,51 Yuan_et_al-2013-Advanced_Functional_Materials.pdf,unknown,VOC,1,N/A
349,52 art%3A10.1007%2Fs40843-015-0036-3.pdf,PBDTDTBT-m,PCE,5.16,%
350,52 art%3A10.1007%2Fs40843-015-0036-3.pdf,PBDTDTBT-p,PCE,3.48,%
351,52 art%3A10.1007%2Fs40843-015-0036-3.pdf,PBDTDTBT-o,PCE,5.76,%
352,54 Zhang_et_al-2014-Advanced_Materials.pdf,unknown,PCE,8.6,%
353,54 Zhang_et_al-2014-Advanced_Materials.pdf,unknown,PCE,8.3,%
354,55 ja1112595.pdf,FTAZ:PC61BM-based,FF,0.722,%
355,55 ja1112595.pdf,FTAZ:PC61BM-based,VOC,0.79,V
356,55 ja1112595.pdf,FTAZ(Figure,PCE,6,%
357,55 ja1112595.pdf,FTAZ:PC61BM-based,JSC,12.45,mA/cm2
358,56 c2cc17708k.pdf,PBDFDTBT-based,VOC,0.77,V
359,56 c2cc17708k.pdf,PBDFDTBT-based,JSC,9,mAcm-2
360,56 c2cc17708k.pdf,unknown,PCE,5.0,%
361,56 c2cc17708k.pdf,PBDFDTBT-based,FF,0.6,N/A
362,56 c2cc17708k.pdf,unknown,JSC,17,mAcm-2
363,57 ma301053q.pdf,PEDOT:PSS/PBDFDODTBT:PC71BM(1:2,VOC,0.69,V
364,57 ma301053q.pdf,PBDFDODTBT,FF,0.653,%
365,57 ma301053q.pdf,PBDFDODTBT,VOC,0.69,V
366,57 ma301053q.pdf,PBDFDODTBT,JSC,9.87,mA/cm2
367,57 ma301053q.pdf,PBDFDODTBT,PCE,4.5,%
368,57 ma301053q.pdf,PEDOT:PSS/PBDFDODTBT:PC71BM(1:2,JSC,9.87,N/A
369,58 C2PY20910A.pdf,PBDFF-BT,JSC,5.84,mAcm
370,58 C2PY20910A.pdf,unknown,JSC,9.94,mAcm
371,58 C2PY20910A.pdf,PBDFT-BT,PCE,4.00,%
372,58 C2PY20910A.pdf,unknown,FF,0.609,%
373,60 c1cc12040a.pdf,PBDTBO/PC61BM,PCE,5.7,%
374,60 c1cc12040a.pdf,PBDTBO/PC61BM,VOC,0.86,V
375,60 c1cc12040a.pdf,PC61BM,JSC,9.7,mAcm-2
376,60 c1cc12040a.pdf,PBDTBO/PC61BM,FF,0.644,%
377,60 c1cc12040a.pdf,PBDTBO/PC61BM,JSC,10.4,mAcm-2
378,61 c0py00136h.pdf,PBDTTPD)with,PCE,7,%
379,61 c0py00136h.pdf,PBDTDTBTz,FF,0.55,N/A
380,61 c0py00136h.pdf,PBDTDTBTz,PCE,1.5,%
381,62 C2TA00474G.pdf,PEDOT:PSS/PBDTTDTBO:PC71BM(1:1,VOC,0.84,V
382,62 C2TA00474G.pdf,PBDTTDTBO,FF,0.61,N/A
383,62 C2TA00474G.pdf,HOMO,FF,0.64,N/A
384,62 C2TA00474G.pdf,PBDTTDTBO,PCE,5.9,%
